Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",14.2544,6.59444,18.1613,2.71215,29.4535,29.4535,0,0,0,188.89,739.924,145.532,61.8718,56.922,18.3742,38.3067,0.653763,6.41576,228.693,10.8965,1.82519,5.97005,0.875471,0.309076,0.0517712,0.25730524212121964,0.209338,0.973259,0.283749,0.771382,,,2.68856,5.91247,5.86361,6.880000114440918,3.44675,-1.08914,2.02896,3.44675,1.08914,2.29472,1123.6,5.944973544973545,1037,5.4867724867724865,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",12.0813,7.81657,17.5098,2.7537,29.8913,29.8913,0,0,0,185.006,736.179,145.583,61.5281,56.6058,15.2685,45.7703,0.839935,6.45747,221.408,10.7708,2.22659,4.83736,0.742767,0.300752,0.0621728,0.23857958987355232,0.212856,1.03431,0.291351,0.763779,,,2.66142,5.69184,5.90476,9.819999694824219,1.94569,-0.548948,1.77775,1.94569,0.548948,2.62966,1090.9,5.896756756756758,1016,5.491891891891892,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",14.0367,8.01748,16.6665,3.04465,29.3401,29.3401,0,0,0.714838,183.85,736.349,148.712,67.6038,62.1955,19.6361,47.4583,1.81836,5.17476,225.43,11.0355,2.32322,4.75006,0.961246,0.306146,0.0644508,0.24169474840164185,0.217506,1.06701,0.294258,0.762194,,,2.93013,5.11006,5.08827,11.949999809265137,4.62585,-1.36696,1.47272,4.62585,1.36696,3.03637,1022.2000000000002,5.555434782608697,954,5.184782608695652,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13.2676,9.54779,17.0111,3.29905,30.0462,30.0462,0,0.177689,0,194.426,800.333,184.554,77.4661,71.2688,15.4999,44.1717,0.899532,5.82888,184.151,8.52436,2.04472,4.16897,0.717494,0.230092,0.0551917,0.17490063980221748,0.245963,1.17642,0.306991,0.730632,,,3.04873,4.86479,4.54734,57.95000076293945,4.10789,-0.631421,1.15797,4.10789,0.631421,3.45605,988.1000000000001,5.0932989690721655,993,5.118556701030927,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Cristopher Sánchez","PHI",12.0397,7.50996,16.6067,3.18839,29.3479,29.3479,0,0,0,187.813,767.99,169.767,72.3214,66.5356,16.1629,45.7879,2.18149,5.90043,182.578,8.74915,2.19416,3.98748,0.774529,0.237735,0.0596204,0.1781146004796028,0.237004,1.14771,0.296784,0.742424,,,3.13528,4.59634,4.94353,25.649999618530273,3.32938,-0.795424,1.13201,3.32938,0.795424,3.49065,962.4000000000001,5.119148936170213,942,5.01063829787234,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Chris Sale","ATL",11.1194,6.26746,13.9462,3.17966,25.5826,25.5826,0,0,0,156.96,637.549,129.979,60.2753,55.4533,16.6484,41.2191,0.661813,8.95621,192.875,11.0593,2.36348,4.67926,0.95461,0.302525,0.0646524,0.23787299543619156,0.221289,1.09071,0.299936,0.750035,,,3.0154,3.89257,4.05492,38.900001525878906,3.28607,-0.183658,1.11623,3.28607,0.183658,3.51169,850.7,5.418471337579618,800,5.095541401273885,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Yoshinobu Yamamoto","LAD",12.2898,6.67204,13.7847,3.24527,26.4974,26.4974,0,0,0,161.105,654.037,131.848,63.1435,58.092,15.8473,47.283,0.730956,4.9843,175.049,9.77902,2.64143,3.70216,0.885298,0.267644,0.072294,0.1953502967953682,0.2191,1.11189,0.282327,0.739033,,,3.21408,3.78978,3.8721,26.760000228881836,3.62767,-0.527348,1.0408,3.62767,0.527348,3.61227,845.4000000000001,5.2509316770186345,791,4.913043478260869,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Cole Ragans","KCR",10.2012,7.90215,12.9361,3.42909,26.132,26.132,0,0,0,153.972,630.973,123.358,63.7659,58.6646,16.6344,54.5972,1.75383,4.96028,191.025,11.1659,3.19134,3.49881,0.972321,0.302748,0.0865287,0.21621888875961304,0.215882,1.15577,0.293394,0.738291,,,3.21872,3.74178,3.28013,47.599998474121094,3.51242,-0.27561,0.922867,3.51242,0.27561,3.76951,812.7000000000003,5.277272727272729,751,4.876623376623376,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Framber Valdez","DET",12.9156,9.66001,16.0084,3.48963,28.8558,28.8558,0,0,0,187.51,784.304,168.397,79.0267,72.7046,15.9243,62.0856,0.72731,8.16682,174.921,8.39576,2.97995,2.81742,0.764325,0.223027,0.0791601,0.14386684447526932,0.235834,1.22918,0.291421,0.727494,,,3.49742,3.66653,3.80441,82.73999786376953,3.48014,-2.54268,1.164,3.48014,2.54268,3.448,897.6000000000001,4.774468085106384,872,4.638297872340425,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Jesús Luzardo","PHI",12.0858,9.19818,14.5082,3.64103,29.3423,29.3423,0,0,0,176.012,722.628,151.358,77.3991,71.2072,21.5172,53.8983,0.822707,5.17655,193.908,9.91506,2.75597,3.59766,1.10024,0.268337,0.0745865,0.19375021755695343,0.228103,1.16615,0.289741,0.730062,,,3.52791,3.6373,3.55802,71.88999938964844,2.71734,-0.491167,1.02377,2.71734,0.491167,3.63497,850.2000000000002,4.830681818181819,805,4.573863636363637,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
