Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",159,686,549,159,90,30,2,37,107,103,129,7,109,3,5,0,,10,5,0.28912,0.187444,0.159415,1.17583,0.423465,0.55285,0.415024,0.976314,0.26373,4.06657,0.298837,-1.56655,-1.51258,138.135,57.8885,172.52,-3.07913,-3.99258,56.41063356399536,-12.342577695846558,6.91058,8.1899995803833,,,,,,,1188.6,7.475471698,1188.6,7.475471698,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",151,651,563,164,82,31,5,47,109,121,79,6,149,5,4,0,,35,10,0.291181,0.120846,0.228524,0.528809,0.380105,0.611292,0.414784,0.991397,0.320111,6.64284,0.315746,0.367106,1.81616,130.962,54.8093,170.543,2.18327,0,57.0990195274353,-16.274999618530273,6.45516,1.5299999713897705,,,,,,,1206.1,7.987417218,1206.1,7.987417218,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Fernando Tatis Jr.","SDP",152,658,591,166,94,33,2,37,88,107,57,4,141,6,5,0,,22,5,0.280581,0.0860265,0.214594,0.40088,0.347323,0.531274,0.372732,0.878598,0.250693,5.00421,0.308471,1.16446,1.20242,110.1,33.128,144.218,2.36688,2.29837,37.15916037559509,-5.151626348495483,5.56869,10.859999656677246,,,,,,,1010.3,6.646710526,1010.3,6.646710526,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",128,553,478,146,87,28,2,29,80,86,63,4,99,8,4,0,,40,11,0.305202,0.113482,0.17826,0.636609,0.39195,0.553225,0.40153,0.945175,0.248024,5.73935,0.329705,1.20432,2.52769,105.348,40.659,158.731,3.73201,-1.73491,42.56945729255676,-8.059910416603088,5.46597,32.22999954223633,,,,,,,963,7.5234375,963,7.5234375,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Mookie Betts","LAD",157,679,592,160,97,32,3,28,92,91,76,3,96,6,5,0,,15,4,0.270841,0.111426,0.141048,0.789989,0.357047,0.478321,0.359557,0.835368,0.20748,4.8836,0.279618,0.408802,-0.0720702,106.413,26.985,133.371,0.336732,-4.08023,27.432772755622864,2.644770622253418,5.44159,12.630000114440918,,,,,,,940.4,5.989808917,940.4,5.989808917,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Elly De La Cruz","CIN",154,665,599,155,85,32,8,30,101,94,57,3,205,4,5,1,,54,12,0.258983,0.0853786,0.308769,0.276513,0.324514,0.490944,0.347329,0.815459,0.231961,8.39041,0.33931,0.665947,4.66615,97.6743,19.8839,116.968,5.3321,3.97742,18.82555627822876,11.002421140670776,5.36767,4.349999904632568,,,,,,,941.4,6.112987012,941.4,6.112987012,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Austin Riley","ATL",157,679,608,171,98,34,2,36,91,107,55,4,162,10,6,0,,2,1,0.280697,0.0815978,0.238248,0.342491,0.347045,0.52323,0.369663,0.870275,0.242533,2.97052,0.323052,0.0657521,-1.17887,111.936,32.5081,137.282,-1.11312,-3.73392,29.158352971076965,-1.3089227676391602,5.21148,30.579999923706055,,,,,,,994,6.331210191,994,6.331210191,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Francisco Lindor","NYM",159,686,611,155,95,30,2,28,84,89,59,3,130,10,5,0,,24,7,0.254057,0.0865275,0.188874,0.458124,0.327821,0.449128,0.335355,0.776949,0.195071,5.11596,0.276923,0.707021,0.807858,94.1476,13.9007,118.897,1.51488,2.77043,17.016812205314636,9.870425939559937,5.13618,15.1899995803833,,,,,,,851.6,5.355974842,851.6,5.355974842,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Kyle Tucker","CHC",154,665,576,160,94,33,3,30,94,94,80,4,98,3,6,0,,24,4,0.276999,0.121014,0.147069,0.822838,0.364919,0.500778,0.370207,0.865698,0.223779,5.51533,0.285598,0.85294,1.77213,109.92,32.1291,141.387,2.62507,-1.28532,35.53660225868225,-9.61032235622406,4.96471,8.140000343322754,,,,,,,998.2,6.481818181,998.2,6.481818181,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Michael Harris II","ATL",146,630,582,168,107,33,4,25,82,84,36,3,122,6,5,0,,20,4,0.288855,0.0576366,0.194018,0.297068,0.334534,0.483889,0.349619,0.818423,0.195034,5.74093,0.326141,0.955742,1.06352,93.6947,19.9985,123.791,2.01926,3.93697,19.942559957504272,6.18697190284729,4.86533,37.90999984741211,,,,,,,865.1,5.925342465,865.1,5.925342465,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
