Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",159,686,539,149,87,27,2,34,110,102,140,8,111,3,4,0,,7,4,0.276515,0.203869,0.162202,1.25688,0.425595,0.520833,0.405778,0.946429,0.244318,3.54446,0.289744,0,-1.97295,133.03,52.7833,166.296,-1.97295,-3.47021,52.41162931919098,-11.820210933685303,6.55152,8.359999656677246,,,,,,,1135.8,7.143396226,1135.8,7.143396226,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",151,651,564,164,84,32,5,43,122,133,79,10,150,5,4,0,,40,5,0.290323,0.120588,0.230882,0.522293,0.379412,0.59253,0.406549,0.971942,0.302207,7.3491,0.322251,0,4.85638,126.647,50.4943,165,4.85638,0,55.457101345062256,-16.274999618530273,6.28559,1.5700000524520874,,,,,,,1193.9,7.906622516,1193.9,7.906622516,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Francisco Lindor","NYM",159,686,607,158,95,31,3,28,101,97,63,2,130,10,5,1,,22,4,0.260345,0.0914634,0.189024,0.483871,0.337405,0.462069,0.344793,0.799474,0.201724,5.92376,0.285714,0,1.38568,99.3585,19.1115,125.249,1.38568,7.90973,22.098434448242188,15.00973129272461,6.19177,15.550000190734863,,,,,,,897.6,5.645283018,897.6,5.645283018,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",152,658,591,163,90,35,1,37,105,104,58,1,144,6,3,0,,20,4,0.276231,0.0884615,0.219231,0.403509,0.346154,0.526767,0.372575,0.87292,0.250535,5.33597,0.306748,0,1.30334,110.016,33.0448,144.112,1.30334,7.4115,36.012407660484314,-0.03849983215332031,5.97833,10.930000305175781,,,,,,,995.6,6.55,995.6,6.55,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Mookie Betts","LAD",157,679,578,163,98,35,2,28,110,100,88,3,94,7,6,0,,15,3,0.282565,0.129693,0.138225,0.938272,0.380546,0.49499,0.376633,0.875536,0.212425,5.03791,0.293233,0,0.105006,115.745,36.317,144.865,0.105006,-9.45083,36.5330491438508,-2.725830554962158,5.82678,12.520000457763672,,,,,,,1016,6.471337579,1016,6.471337579,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Ronald Acuña Jr.","ATL",128,553,471,139,84,26,2,26,106,78,70,2,104,9,3,0,,36,8,0.293991,0.126143,0.1883,0.669903,0.393053,0.525751,0.39435,0.918804,0.23176,6.88374,0.326471,0,2.73472,102.152,37.4635,153.898,2.73472,-1.10455,38.376654624938965,-7.429545283317566,5.09805,32.59000015258789,,,,,,,921.6,7.2,921.6,7.2,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Michael Harris II","ATL",146,630,586,172,112,33,4,22,88,84,34,2,126,7,3,0,,17,6,0.293666,0.0535714,0.2,0.267857,0.3375,0.479846,0.350392,0.817346,0.18618,5.60403,0.339286,0,-0.0929437,94.0866,20.3904,124.311,-0.0929437,7.87533,18.22227430343628,10.125328540802002,5.0944,37.84000015258789,,,,,,,841,5.760273972,841,5.760273972,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Trea Turner","PHI",156,672,622,179,120,33,2,24,101,85,41,1,129,6,3,0,,24,3,0.287273,0.0606061,0.191919,0.315789,0.335017,0.461818,0.343647,0.796835,0.174545,5.92479,0.327751,0,2.07334,96.7107,18.1015,120.375,2.07334,0.464239,18.446157217025757,7.664238631725311,5.0078,26.389999389648438,,,,,,,891.3,5.713461538,891.3,5.713461538,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Elly De La Cruz","CIN",154,665,598,157,91,32,9,25,104,88,61,2,198,4,1,1,,54,13,0.262982,0.0918675,0.298193,0.308081,0.334842,0.472362,0.347151,0.807203,0.20938,8.63872,0.352,0,4.32599,97.579,19.7886,116.849,4.32599,1.0125,17.724146366119385,8.037500143051147,4.94771,4.389999866485596,,,,,,,921.5,5.983766233,921.5,5.983766233,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Austin Riley","ATL",157,679,606,166,98,34,2,33,96,99,56,1,165,10,7,0,,1,0,0.274583,0.0827815,0.243377,0.340136,0.342715,0.499072,0.360215,0.841788,0.22449,2.99906,0.322493,0,-1.06167,106.773,27.3449,130.923,-1.06167,-1.45916,24.046610593795776,0.9658428430557251,4.91848,31.049999237060547,,,,,,,943.7,6.010828025,943.7,6.010828025,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
