Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Paul Skenes","PIT",16,8,22,2.75458,32,32,0,0,,198,805,158,66,61,18,54,,8,237,10.76,2.43674,4.41575,0.81572,0.294754,0.0667506,0.22800305485725403,0.212936,1.06817,0.287464,0.779663,,,2.85598,5.57112,6.38442,9.470000267028809,,,,,,,1121,5.661616161616162,1044,5.2727272727272725,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Cristopher Sánchez","PHI",15,9,21,3.2138,32,32,0,0,,204,833,180,79,73,19,53,,8,205,9.0814,2.33608,3.88744,0.818186,0.246437,0.0633931,0.1830441877245903,0.233147,1.14425,0.294581,0.741642,,,3.1988,5.02301,5.34851,27.530000686645508,,,,,,,1034.9,5.073039215686275,1000,4.901960784313726,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Logan Webb","SFG",14,9,20,3.41292,32,32,0,0,,205,852,197,85,78,18,48,,8,200,8.79406,2.12267,4.14293,0.783522,0.234694,0.0566494,0.17804477363824844,0.248071,1.20019,0.310742,0.728926,,,3.14071,4.30756,3.97603,55.880001068115234,,,,,,,1015.3999999999999,4.953170731707316,1023,4.990243902439024,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Hunter Greene","CIN",14,8,20,3.13194,31,31,0,0,,183,764,139,69,64,24,64,,8,235,11.5582,3.15762,3.66043,1.20262,0.307285,0.0839476,0.22333715856075287,0.200819,1.11083,0.264672,0.791059,,,3.48854,4.2132,5.14751,46.939998626708984,,,,,,,951.6,5.2,857,4.683060109289618,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Chris Sale","ATL",12,8,17,3.26132,28,28,0,0,,166,675,137,66,60,19,48,,7,196,10.6061,2.58853,4.09735,1.03192,0.29032,0.0708556,0.2194644808769226,0.221509,1.11395,0.291987,0.753245,,,3.2548,3.7228,3.99542,35.060001373291016,,,,,,,865.5,5.213855421686747,810,4.879518072289157,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jesús Luzardo","PHI",12,9,18,3.66818,31,31,0,0,,180,747,157,80,73,23,58,,8,200,10.0143,2.88809,3.46746,1.14067,0.267818,0.0772376,0.1905808225274086,0.230074,1.19309,0.292166,0.736402,,,3.64877,3.59475,3.58185,70.02999877929688,,,,,,,842.8999999999999,4.682777777777777,803,4.461111111111111,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Yoshinobu Yamamoto","LAD",12,7,16,3.20757,26,26,0,0,,149,618,121,58,53,16,51,,6,169,10.1902,3.06093,3.32913,0.976534,0.272892,0.0819709,0.1909211054444313,0.216257,1.15441,0.279558,0.763236,,,3.43197,3.37985,3.7428,24.649999618530273,,,,,,,758.2000000000002,5.088590604026846,704,4.724832214765101,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Chase Burns","CIN",7,4,15,3.06802,31,23,0,1,,130,541,102,49,44,15,44,,6,169,11.6811,3.05946,3.81803,1.05475,0.312803,0.0819279,0.2308754324913025,0.207113,1.11989,0.281937,0.78212,,,3.21315,3.18,3.4534,114.62000274658203,,,,,,,704.3,5.417692307692307,647,4.976923076923077,,,,,,,,,,,,,,,,,,,"Chase Burns","35333",695505
"Spencer Schwellenbach","ATL",12,8,17,3.45423,28,28,0,0,,164,678,146,69,63,19,42,,7,164,8.9646,2.28606,3.92142,1.05164,0.241427,0.0615663,0.17986062541604042,0.232244,1.14379,0.284341,0.739231,,,3.54548,3.07745,3.52533,78.68000030517578,,,,,,,781.3000000000001,4.764024390243903,754,4.597560975609756,,,,,,,,,,,,,,,,,,,"Spencer Schwellenbach","31846",680885
"Zack Wheeler","PHI",10,5,14,3.09687,21,21,0,0,,126,512,100,47,43,15,35,,5,149,10.5922,2.47443,4.28064,1.10307,0.290196,0.0677927,0.22240345925092697,0.211684,1.06663,0.274176,0.771811,,,3.3213,3.00307,3.50363,147.75999450683594,,,,,,,665.9000000000001,5.284920634920636,613,4.865079365079365,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
