Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",16,8,22,2.74432,32,32,0,0,,200,799,159,67,61,19,46,,8,230,10.3446,2.04946,5.04749,0.832937,0.288443,0.0571458,0.23129698261618614,0.213501,1.02165,0.283194,0.771908,,,2.86949,5.38641,5.92199,12.970000267028809,,,,,,,1130.9,5.6545000000000005,1051,5.255,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",16,7,22,2.54504,31,31,0,0,,173,696,131,53,49,14,50,,7,220,11.4593,2.58337,4.43578,0.716652,0.316042,0.0712484,0.2447940558195114,0.205121,1.04617,0.289394,0.788828,,,2.63868,5.2056,6.08187,11.319999694824219,,,,,,,1036.4,5.990751445086706,952,5.502890173410405,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Zack Wheeler","PHI",15,9,20,3.20622,32,32,0,0,,205,831,167,80,73,24,53,,8,222,9.77795,2.35149,4.1582,1.0705,0.267309,0.0642848,0.20302408188581467,0.217585,1.08001,0.273628,0.756345,,,3.44441,4.42594,5.05366,20.65999984741211,,,,,,,1048.6,5.115121951219511,974,4.751219512195122,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Garrett Crochet","BOS",14,8,19,3.01241,31,31,0,0,,156,634,126,57,52,15,47,,6,202,11.6532,2.69128,4.32997,0.87828,0.318127,0.073471,0.24465648084878922,0.216974,1.10824,0.304485,0.764355,,,2.86717,4.29081,4.45294,22.760000228881836,,,,,,,887.3000000000001,5.6878205128205135,830,5.32051282051282,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Chris Sale","ATL",14,8,20,3.1197,31,31,0,0,,181,739,149,68,63,20,50,,7,217,10.8063,2.51137,4.30297,0.978709,0.29372,0.06826,0.22546028345823288,0.218501,1.10232,0.29065,0.761752,,,3.1389,4.19287,4.7998,35.7400016784668,,,,,,,969.0000000000001,5.353591160220995,908,5.016574585635359,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",14,9,19,3.46207,32,32,0,0,,204,841,198,86,78,16,45,,8,177,7.8401,1.97696,3.96574,0.717734,0.210705,0.0531312,0.1575733870267868,0.250904,1.19198,0.305216,0.71444,,,3.23817,4.18728,4.05369,102.44999694824219,,,,,,,993.0000000000002,4.867647058823531,1007,4.936274509803922,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Logan Gilbert","SEA",14,9,20,3.16936,32,32,0,0,,198,803,165,76,70,24,44,,8,207,9.3662,1.99149,4.7031,1.07255,0.257219,0.0546914,0.20252804458141327,0.220017,1.05423,0.271813,0.75458,,,3.41449,3.81628,4.23504,24.450000762939453,,,,,,,999,5.045454545454546,936,4.7272727272727275,,,,,,,,,,,,,,,,,,,"Logan Gilbert","22250",669302
"Framber Valdez","HOU",12,8,18,3.3429,29,29,0,0,,182,757,162,74,68,15,58,,8,179,8.84321,2.87732,3.07342,0.738994,0.236184,0.0768474,0.15933702886104584,0.234233,1.20923,0.29544,0.734316,,,3.35658,3.68607,3.82208,62.5,,,,,,,901.0999999999999,4.9510989010989,875,4.8076923076923075,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"George Kirby","SEA",13,9,19,3.2774,31,31,0,0,,178,724,160,71,65,21,28,,7,172,8.70877,1.40929,6.17956,1.08166,0.237596,0.0384487,0.1991475559771061,0.232337,1.05787,0.279826,0.742046,,,3.3739,3.55182,3.48583,44.11000061035156,,,,,,,881.9000000000001,4.954494382022473,856,4.808988764044944,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Pablo López","MIN",13,10,18,3.72274,32,32,0,0,,194,803,179,88,80,24,50,,8,199,9.21599,2.31522,3.98061,1.11175,0.247929,0.0622842,0.18564482778310776,0.239823,1.17633,0.296316,0.7221,,,3.61792,3.54498,3.14077,65.87000274658203,,,,,,,899.0000000000001,4.634020618556701,882,4.546391752577319,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Cole Ragans","KCR",13,9,18,3.48576,31,31,0,0,,178,744,152,75,69,18,66,,8,197,10.0007,3.34011,2.99414,0.921482,0.265559,0.088693,0.17686587572097778,0.226646,1.22522,0.294229,0.741487,,,3.52286,3.49478,3.91392,48.41999816894531,,,,,,,872.5999999999999,4.902247191011235,828,4.651685393258427,,,,,,,,,,,,,,,,,,,"Cole Ragans","21846",666142
"Gerrit Cole","NYY",13,9,18,3.42771,31,31,0,0,,182,751,151,76,69,24,52,,8,201,9.97573,2.59268,3.84766,1.2102,0.268307,0.0697325,0.19857434183359146,0.21794,1.11656,0.271254,0.754689,,,3.68685,3.48801,3.72214,60.38999938964844,,,,,,,880.9999999999999,4.84065934065934,820,4.5054945054945055,,,,,,,,,,,,,,,,,,,"Gerrit Cole","13125",543037
"Dylan Cease","SDP",14,9,20,3.30828,32,32,0,0,,187,776,147,75,69,22,71,,8,221,10.6107,3.41215,3.10969,1.04065,0.284738,0.0915648,0.1931731402873993,0.210508,1.16152,0.275284,0.76031,,,3.58322,3.47635,3.98933,47.290000915527344,,,,,,,935.9999999999998,5.005347593582886,854,4.566844919786096,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Max Fried","NYY",12,9,17,3.41243,29,29,0,0,,175,726,154,72,66,17,52,,7,164,8.43557,2.66761,3.16222,0.870983,0.225883,0.0714318,0.15445143729448318,0.23164,1.17917,0.283048,0.733026,,,3.56536,3.47316,3.70058,101.37000274658203,,,,,,,836.5000000000001,4.78,805,4.6,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"Tyler Glasnow","LAD",11,6,16,2.9356,24,24,0,0,,142,569,108,50,46,15,43,,6,172,10.9016,2.74292,3.97445,0.944842,0.301745,0.0759212,0.22582398355007172,0.206929,1.06383,0.2781,0.771741,,,3.14681,3.47135,3.97896,108.61000061035156,,,,,,,782.5,5.51056338028169,712,5.014084507042254,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Corbin Burnes","ARI",13,9,19,3.41666,31,31,0,0,,187,769,163,77,71,19,54,,8,187,9.00177,2.6171,3.4396,0.918926,0.242942,0.0706308,0.17231103032827377,0.231157,1.16563,0.288086,0.734334,,,3.49064,3.40639,4.24007,40.709999084472656,,,,,,,914.3,4.889304812834224,876,4.684491978609626,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Aaron Nola","PHI",12,10,17,3.72096,31,31,0,0,,187,770,170,84,77,25,44,,7,186,8.95368,2.13968,4.18459,1.19126,0.241332,0.0576716,0.18366055563092232,0.237329,1.1502,0.287066,0.724054,,,3.73044,3.39705,3.38279,85.61000061035156,,,,,,,853.3,4.563101604278074,829,4.433155080213904,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Cristopher Sánchez","PHI",12,9,17,3.64452,29,29,0,0,,172,718,163,76,70,16,48,,7,152,7.9533,2.49481,3.18794,0.838947,0.211642,0.0663885,0.14525387436151505,0.246087,1.22626,0.2972,0.715461,,,3.56736,3.34378,3.24712,176.83999633789062,,,,,,,791.2,4.6000000000000005,791,4.598837209302325,,,,,,,,,,,,,,,,,,,"Cristopher Sanchez","20778",650911
"Yoshinobu Yamamoto","LAD",12,8,16,3.41171,28,28,0,0,,160,641,134,66,61,17,46,,7,167,9.39343,2.57893,3.64237,0.977498,0.260928,0.071637,0.18929143995046616,0.226942,1.12008,0.287604,0.729366,,,3.47234,3.26986,3.35903,59,,,,,,,801.5000000000001,5.009375,754,4.7125,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
