Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",15,8,,3.27832,32,32,0,0,,203,823,168,80,74,20,54,,8,213,9.42516,2.40751,3.91489,0.870803,0.25879,0.0661041,0.19268635660409927,0.2207,1.09277,0.280702,0.731272,,,3.25185,4.84722,4.91383,20.920000076293945,,,,,,,1059.4,5.218719211822661,995,4.901477832512315,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Chris Sale","ATL",14,6,,2.98486,31,31,0,0,,178,732,151,64,59,17,46,,10,218,11.031,2.33598,4.72222,0.843547,0.297723,0.0630473,0.23467601090669632,0.223909,1.11031,0.305233,0.765832,,,2.8853,4.72553,5.04865,35.88999938964844,,,,,,,983.5000000000001,5.525280898876405,937,5.264044943820225,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Logan Webb","SFG",13,9,,3.21921,32,32,0,0,,198,813,185,77,71,14,43,,5,166,7.54216,1.93153,3.90476,0.643843,0.204234,0.0523039,0.15193027257919312,0.242064,1.14972,0.292388,0.725414,,,3.14093,4.44734,4.67208,101.79000091552734,,,,,,,1000,5.05050505050505,996,5.03030303030303,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Yoshinobu Yamamoto","LAD",13,7,,3.33562,28,28,0,0,,167,648,129,67,62,18,36,,3,172,9.26561,1.91489,4.83871,0.988332,0.265487,0.0548673,0.2106194645166397,0.210923,0.981469,0.263014,0.704809,,,3.23511,3.96035,3.72239,58.709999084472656,,,,,,,905.9999999999999,5.425149700598801,828,4.958083832335329,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Corbin Burnes","ARI",14,7,,2.97193,31,31,0,0,,186,754,155,67,62,16,52,,7,184,8.86626,2.52614,3.5098,0.792515,0.243537,0.0693878,0.17414966970682144,0.223043,1.11172,0.280083,0.762806,,,3.29857,3.85564,5.30502,40.209999084472656,,,,,,,967.6000000000001,5.2021505376344095,913,4.908602150537634,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Paul Skenes","PIT",8,6,,3.24533,31,31,0,0,,159,642,130,63,57,17,44,,4,186,10.4894,2.49195,4.2093,0.98519,0.289137,0.0686901,0.22044726461172104,0.219344,1.09466,0.288714,0.745554,,,3.16648,3.79706,3.93269,11.239999771118164,,,,,,,857.5000000000002,5.39308176100629,802,5.044025157232705,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Aaron Nola","PHI",11,9,,3.82979,31,31,0,0,,188,770,173,86,80,24,41,,5,185,8.83797,1.96399,4.5,1.1293,0.24,0.0533333,0.18666666001081467,0.239716,1.14021,0.290837,0.707014,,,3.57019,3.75897,3.23486,85.66000366210938,,,,,,,878.2,4.671276595744681,860,4.574468085106383,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Nick Martinez","CIN",12,9,,3.525,49,23,0,1,,183,760,177,78,72,17,44,,6,157,7.725,2.175,3.55172,0.825,0.206827,0.0582329,0.14859439432621002,0.249462,1.20833,0.299145,0.725309,,,3.46648,3.71942,3.74673,336.3900146484375,,,,,,,852.9000000000001,4.660655737704919,862,4.7103825136612025,,,,,,,,,,,,,,,,,,,"Nick Martinez","12730",607259
"Dylan Cease","SDP",13,9,,3.43199,32,32,0,0,,178,736,143,73,68,19,67,,5,210,10.6033,3.38076,3.13636,0.97325,0.284732,0.090784,0.1939477100968361,0.214939,1.17814,0.283721,0.748337,,,3.42829,3.61759,3.61019,46.65999984741211,,,,,,,915.7,5.144382022471911,847,4.758426966292135,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Sandy Alcantara","MIA",10,8,,3.49015,28,28,0,0,,181,738,166,76,70,17,41,,7,154,7.66688,2.05976,3.72222,0.858233,0.208398,0.0559876,0.15241055935621262,0.241265,1.15067,0.287611,0.71875,,,3.50342,3.57452,4.02995,163.33999633789062,,,,,,,862.7000000000002,4.766298342541437,848,4.685082872928176,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
